FIPStxt,Stabr,Area_name,PCTPOVALL_2019,POVALL_2019
0,US,United States,12.3,"39,490,096"
1000,AL,Alabama,15.6,"747,478"
1001,AL,Autauga County,12.1,"6,723"
1003,AL,Baldwin County,10.1,"22,360"
1005,AL,Barbour County,27.1,"5,909"
1007,AL,Bibb County,20.3,"4,101"
1009,AL,Blount County,16.3,"9,324"
1011,AL,Bullock County,30,"2,537"
1013,AL,Butler County,21.6,"4,124"
1015,AL,Calhoun County,17.2,"18,988"
1017,AL,Chambers County,19.6,"6,415"
1019,AL,Cherokee County,15.9,"4,121"
1021,AL,Chilton County,16,"7,044"
1023,AL,Choctaw County,22.6,"2,811"
1025,AL,Clarke County,18.4,"4,281"
1027,AL,Clay County,16.6,"2,156"
1029,AL,Cleburne County,13.3,"1,945"
1031,AL,Coffee County,15,"7,734"
1033,AL,Colbert County,14.6,"7,998"
1035,AL,Conecuh County,22.2,"2,662"
1037,AL,Coosa County,17.1,"1,789"
1039,AL,Covington County,17.2,"6,269"
1041,AL,Crenshaw County,16.8,"2,289"
1043,AL,Cullman County,12.2,"10,088"
1045,AL,Dale County,18.1,"8,727"
1047,AL,Dallas County,26,"9,533"
1049,AL,DeKalb County,18.2,"12,848"
1051,AL,Elmore County,11.4,"8,753"
1053,AL,Escambia County,20.5,"6,980"
1055,AL,Etowah County,18.8,"18,801"
1057,AL,Fayette County,17,"2,721"
1059,AL,Franklin County,16.1,"4,989"
1061,AL,Geneva County,16.1,"4,180"
1063,AL,Greene County,31.7,"2,553"
1065,AL,Hale County,20.5,"2,956"
1067,AL,Henry County,17.2,"2,919"
1069,AL,Houston County,19.4,"20,207"
1071,AL,Jackson County,14.7,"7,481"
1073,AL,Jefferson County,16.2,"104,288"
1075,AL,Lamar County,15.3,"2,070"
1077,AL,Lauderdale County,15.7,"14,193"
1079,AL,Lawrence County,17.7,"5,773"
1081,AL,Lee County,15.5,"24,731"
1083,AL,Limestone County,12,"11,535"
1085,AL,Lowndes County,26.6,"2,555"
1087,AL,Macon County,29.3,"4,817"
1089,AL,Madison County,11.5,"41,789"
1091,AL,Marengo County,24.8,"4,601"
1093,AL,Marion County,16.9,"4,883"
1095,AL,Marshall County,15.7,"14,989"
1097,AL,Mobile County,17.7,"71,784"
1099,AL,Monroe County,23.3,"4,770"
1101,AL,Montgomery County,15.8,"34,268"
1103,AL,Morgan County,13.7,"16,146"
1105,AL,Perry County,33.9,"2,778"
1107,AL,Pickens County,24.3,"4,380"
1109,AL,Pike County,21.8,"6,742"
1111,AL,Randolph County,17.5,"3,906"
1113,AL,Russell County,18.9,"10,823"
1115,AL,St. Clair County,11.2,"9,780"
1117,AL,Shelby County,6.2,"13,428"
1119,AL,Sumter County,36.4,"4,195"
1121,AL,Talladega County,17.4,"13,326"
1123,AL,Tallapoosa County,16,"6,341"
1125,AL,Tuscaloosa County,16.2,"32,226"
1127,AL,Walker County,17.3,"10,837"
1129,AL,Washington County,18.6,"2,998"
1131,AL,Wilcox County,32.5,"3,329"
1133,AL,Winston County,16.7,"3,882"
2000,AK,Alaska,10.2,"73,033"
2013,AK,Aleutians East Borough,14.8,492
2016,AK,Aleutians West Census Area,7.6,414
2020,AK,Anchorage Borough,9.5,"26,636"
2050,AK,Bethel Census Area,23.5,"4,249"
2060,AK,Bristol Bay Borough,9.8,80
2068,AK,Denali Borough,6.6,132
2070,AK,Dillingham Census Area,18.1,883
2090,AK,Fairbanks North Star Borough,7.2,"6,656"
2100,AK,Haines Borough,9.8,247
2105,AK,Hoonah-Angoon Census Area,15.7,336
2110,AK,Juneau Borough,6.3,"1,951"
2122,AK,Kenai Peninsula Borough,10.4,"5,966"
2130,AK,Ketchikan Gateway Borough,9.4,"1,283"
2150,AK,Kodiak Island Borough,7.1,909
2158,AK,Kusilvak Census Area,26.8,"2,217"
2164,AK,Lake and Peninsula Borough,17.4,275
2170,AK,Matanuska-Susitna Borough,9.6,"10,142"
2180,AK,Nome Census Area,20.7,"2,033"
2185,AK,North Slope Borough,11.4,"1,109"
2188,AK,Northwest Arctic Borough,24,"1,805"
2195,AK,Petersburg Borough,6.7,219
2198,AK,Prince of Wales-Hyder Census Area,17.6,"1,085"
2220,AK,Sitka Borough,8.1,672
2230,AK,Skagway Municipality,4,47
2240,AK,Southeast Fairbanks Census Area,12,823
2261,AK,Valdez-Cordova Census Area,8.6,781
2275,AK,Wrangell City and Borough,9.7,240
2282,AK,Yakutat Borough,14.7,85
2290,AK,Yukon-Koyukuk Census Area,24.4,"1,266"
4000,AZ,Arizona,13.5,"963,007"
4001,AZ,Apache County,33.4,"23,680"
4003,AZ,Cochise County,16.6,"20,172"
4005,AZ,Coconino County,15.9,"20,817"
4007,AZ,Gila County,21.1,"11,219"
4009,AZ,Graham County,20.1,"7,207"
4011,AZ,Greenlee County,9.3,876
4012,AZ,La Paz County,22.1,"4,593"
4013,AZ,Maricopa County,12.2,"539,670"
4015,AZ,Mohave County,16,"33,183"
4017,AZ,Navajo County,25.2,"27,440"
4019,AZ,Pima County,14,"142,859"
4021,AZ,Pinal County,12.1,"52,975"
4023,AZ,Santa Cruz County,18.8,"8,688"
4025,AZ,Yavapai County,12,"27,845"
4027,AZ,Yuma County,20.4,"41,782"
5000,AR,Arkansas,16,"468,575"
5001,AR,Arkansas County,15.8,"2,714"
5003,AR,Ashley County,18.5,"3,603"
5005,AR,Baxter County,12.7,"5,248"
5007,AR,Benton County,8.9,"24,525"
5009,AR,Boone County,15.1,"5,572"
5011,AR,Bradley County,22.9,"2,426"
5013,AR,Calhoun County,15.4,771
5015,AR,Carroll County,14.7,"4,118"
5017,AR,Chicot County,31,"2,900"
5019,AR,Clark County,20.6,"3,971"
5021,AR,Clay County,18.7,"2,691"
5023,AR,Cleburne County,14.1,"3,452"
5025,AR,Cleveland County,13.7,"1,080"
5027,AR,Columbia County,21.2,"4,509"
5029,AR,Conway County,15.6,"3,215"
5031,AR,Craighead County,16.9,"17,960"
5033,AR,Crawford County,18.3,"11,436"
5035,AR,Crittenden County,22.4,"10,520"
5037,AR,Cross County,17.8,"2,874"
5039,AR,Dallas County,18.8,"1,241"
5041,AR,Desha County,25.4,"2,859"
5043,AR,Drew County,18.5,"3,191"
5045,AR,Faulkner County,14.4,"17,459"
5047,AR,Franklin County,16.2,"2,830"
5049,AR,Fulton County,17.7,"2,169"
5051,AR,Garland County,16.9,"16,532"
5053,AR,Grant County,12.1,"2,189"
5055,AR,Greene County,15.5,"6,925"
5057,AR,Hempstead County,18.5,"3,930"
5059,AR,Hot Spring County,20.2,"6,322"
5061,AR,Howard County,16.8,"2,176"
5063,AR,Independence County,15.9,"5,852"
5065,AR,Izard County,15.9,"2,003"
5067,AR,Jackson County,22.9,"3,313"
5069,AR,Jefferson County,24.4,"14,942"
5071,AR,Johnson County,17.5,"4,521"
5073,AR,Lafayette County,25.5,"1,655"
5075,AR,Lawrence County,18.4,"2,887"
5077,AR,Lee County,35.4,"2,515"
5079,AR,Lincoln County,27.1,"2,567"
5081,AR,Little River County,17.8,"2,157"
5083,AR,Logan County,17.4,"3,640"
5085,AR,Lonoke County,10.7,"7,760"
5087,AR,Madison County,16.4,"2,699"
5089,AR,Marion County,16.3,"2,687"
5091,AR,Miller County,14.1,"5,909"
5093,AR,Mississippi County,23,"9,128"
5095,AR,Monroe County,25.5,"1,681"
5097,AR,Montgomery County,19.9,"1,756"
5099,AR,Nevada County,24.1,"1,951"
5101,AR,Newton County,18.1,"1,386"
5103,AR,Ouachita County,17.3,"3,969"
5105,AR,Perry County,16.5,"1,710"
5107,AR,Phillips County,33.3,"5,841"
5109,AR,Pike County,16.9,"1,769"
5111,AR,Poinsett County,23.1,"5,339"
5113,AR,Polk County,20.2,"3,991"
5115,AR,Pope County,16.9,"10,218"
5117,AR,Prairie County,15,"1,190"
5119,AR,Pulaski County,14.6,"56,020"
5121,AR,Randolph County,17.3,"3,036"
5123,AR,St. Francis County,32,"6,679"
5125,AR,Saline County,9.6,"11,665"
5127,AR,Scott County,19.6,"1,983"
5129,AR,Searcy County,22.4,"1,740"
5131,AR,Sebastian County,15.9,"19,923"
5133,AR,Sevier County,17.7,"2,962"
5135,AR,Sharp County,23.3,"4,007"
5137,AR,Stone County,19.3,"2,378"
5139,AR,Union County,18.9,"7,216"
5141,AR,Van Buren County,19.9,"3,235"
5143,AR,Washington County,15.1,"34,731"
5145,AR,White County,15.4,"11,613"
5147,AR,Woodruff County,27.1,"1,678"
5149,AR,Yell County,15.6,"3,265"
6000,CA,California,11.8,"4,560,419"
6001,CA,Alameda County,8.9,"146,315"
6003,CA,Alpine County,17.2,193
6005,CA,Amador County,9.8,"3,462"
6007,CA,Butte County,16.1,"34,503"
6009,CA,Calaveras County,12.1,"5,477"
6011,CA,Colusa County,12,"2,554"
